"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Accursed Marauder","mh3","Near Mint","English","","","2026-04-04 15:09:27.360000","80","False","False","0.21"
"1","1","Akroma's Will","m3c","Near Mint","English","","","2026-04-04 14:39:47.307000","165","False","False","10.76"
"1","1","Amphibian Downpour","mh3","Near Mint","English","","","2026-04-04 14:50:26.470000","51","False","False","0.74"
"1","1","Amy Rose","sld","Near Mint","English","","","2026-04-05 04:43:33.983000","2083","False","False",""
